수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-11-21 오후 4:35:17,Microsoft-Windows-HttpService,111,HTTP Configuration Property Trace Task,"URL 그룹 0xFE00000020000001을(를) 만듭니다. 상태 0x0. 프로세스 ID 0xE8C 실행 경로 \Device\HarddiskVolume3\Windows\System32\svchost.exe, 사용자 LOCAL SERVICE"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://+:10243/WMPNSSv4/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL https://+:10245/WMPNSSv4/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://+:10247/apps/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://+:10246/MDEServer/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://+:80/116B50EB-ECE2-41ac-8429-9F9E963361B7/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL https://+:443/C574AC30-5794-4AEE-B1BB-6651C5315029/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://+:80/0131501b-d67f-491b-9a40-c4bf27bcb4d4/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL https://+:443/sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://+:3387/rdp/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL https://+:3392/rdp/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://+:5985/wsman/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://+:47001/wsman/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL https://+:5986/wsman/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://*:2869/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL https://*:5358/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
